"month","avg_wt","sum_wt","nobs"
1998-04-01,2299.09030787815,152277947.452002,66234
1998-05-01,2302.23060078932,152251114.091399,66132
1998-06-01,2318.97433902301,152433140.227,65733
1998-07-01,2326.87800954664,152652504.938297,65604
1998-08-01,2304.04110818871,152698020.404098,66274
1998-09-01,2314.77146185639,152770286.939598,65998
1998-10-01,2298.76323118888,153253947.0969,66668
1998-11-01,2289.83525449938,153160210.6677,66887
1998-12-01,2296.31547666251,151657859.340699,66044
1999-01-01,2319.08691587381,153180328.967297,66052
1999-02-01,2361.97828038228,153497882.507203,64987
1999-03-01,2382.16358448424,153685283.653001,64515
1999-04-01,2344.37808066017,153889665.970695,65642
1999-05-01,2338.98598307236,154010532.0554,65845
1999-06-01,2335.14893725158,154138511.050103,66008
1999-07-01,2335.79787554481,154349523.616001,66080
1999-08-01,2307.34427165586,154449010.8561,66938
1999-09-01,2313.1228287072,154553614.9229,66816
1999-10-01,2295.1642208773,154822597.683499,67456
1999-11-01,2286.05509203253,154909951.201401,67763
1999-12-01,2311.46088035625,154793912.235697,66968
2000-01-01,2342.46335822956,156781072.566304,66930
2000-02-01,2404.89048100855,156705068.632998,65161
2000-03-01,2389.55817606363,157201863.728698,65787
2000-04-01,2367.39543098869,157313426.389198,66450
2000-05-01,2392.63332266807,157471162.131399,65815
2000-06-01,2388.44224979937,157706453.312002,66029
2000-07-01,2398.93365242423,157638728.168101,65712
2000-08-01,2416.61882125569,149574205.3228,61894
2000-09-01,2412.1237798545,151500670.365101,62808
2000-10-01,2407.73030770801,158214366.249801,65711
2000-11-01,2394.94181178065,158427795.791102,66151
2000-12-01,2413.08836174059,158518187.571101,65691
2001-01-01,2456.73884725881,158631627.367501,64570
2001-02-01,2506.11094577239,158752103.970898,63346
2001-03-01,2517.92090375742,158349527.7164,62889
2001-04-01,2447.3377428917,155998202.407403,63742
2001-05-01,2511.1479188744,158536301.562297,63133
2001-06-01,2050.26469008178,156939560.967,76546
2001-07-01,2088.3555447581,159558717.041698,76404
2001-08-01,2052.5994763279,159640924.271402,77775
2001-09-01,2046.14818001662,159906480.268299,78150
2001-10-01,2067.08950243352,160116752.8585,77460
2001-11-01,2064.40993260095,160481034.9306,77737
2001-12-01,2069.26406039274,160401072.905404,77516
2002-01-01,2092.52240959761,156999863.869699,75029
2002-02-01,2113.26590821853,160709645.788202,76048
2002-03-01,2121.09928001446,158253096.182599,74609
2002-04-01,2086.8230244419,160879447.423299,77093
2002-05-01,2084.06973672981,161046488.905796,77275
2002-06-01,2085.61817766711,161187000.861002,77285
2002-07-01,2095.89475554461,161144964.174803,76886
2002-08-01,2061.719400129,161414073.555499,78291
2002-09-01,2060.12962964498,161516223.093796,78401
2002-10-01,2077.07182350369,161747814.111703,77873
2002-11-01,2053.72338108128,162051097.107599,78906
2002-12-01,2067.62511395303,157253228.041698,76055
2003-01-01,2098.01870440103,162938426.639897,77663
2003-02-01,2123.4372964434,163048132.807406,76785
2003-03-01,2109.44172645737,163374152.272397,77449
2003-04-01,2091.99602865029,163393257.821702,78104
2003-05-01,2121.91515310737,163512659.783301,77059
2003-06-01,2149.75721644014,163570727.084497,76088
2003-07-01,2168.78642102379,163877839.5454,75562
2003-08-01,2142.57274036559,164078220.457197,76580
2003-09-01,2143.40077451798,164182355.927303,76599
2003-10-01,2164.63988144121,164586228.745501,76034
2003-11-01,2166.36830509849,164778306.022402,76062
2003-12-01,2167.83445386199,164774929.003596,76009
2004-01-01,2159.84110780993,164547494.7985,76185
