"quarter","eu_2state","ue_2state","ur","mu","pi_eu_3state","pi_ue_3state","v","gdpc1"
1974-07-01,11.9455641859505,86.6826312250532,5.63333333333333,9.76666666666667,NA,NA,3706.56434134549,6053.978
1974-10-01,13.2016597505675,79.6336696817229,6.6,9.86666666666667,NA,NA,3067.08210788676,6030.464
1975-01-01,12.3751177183841,74.2070354783785,8.26666666666667,11.4,NA,NA,2585.38182990779,5957.035
1975-04-01,11.9832928906557,73.4650128161869,8.86666666666667,13.8666666666667,NA,NA,2578.85911872804,5999.61
1975-07-01,11.7800474790895,75.0262032295452,8.46666666666667,15.5666666666667,NA,NA,2749.54851636262,6102.326
1975-10-01,11.1685730612708,74.600984461593,8.3,16.1666666666667,NA,NA,2859.43971911594,6184.53
1976-01-01,11.3696987800064,77.0584802404052,7.73333333333333,16.4666666666667,NA,NA,3081.09881282875,6323.649
1976-04-01,11.486218645188,76.8566015561573,7.56666666666667,15.9333333333333,NA,NA,3188.90953202973,6370.025
1976-07-01,11.7205160578207,77.6798239364825,7.73333333333333,15.5,NA,NA,3191.68336651495,6404.895
1976-10-01,11.5031652506404,77.1767064423187,7.76666666666667,15.2,NA,NA,3315.31932026401,6451.177
1977-01-01,12.1422041448963,80.4454173217992,7.5,14.8,NA,NA,3576.56799895051,6527.703
1977-04-01,11.6890838833537,81.0355662301417,7.13333333333333,14.5666666666667,NA,NA,3825.84767152841,6654.466
1977-07-01,11.49433157283,81.0462191652413,6.9,14.0666666666667,NA,NA,4042.73243698254,6774.457
1977-10-01,11.2228885301353,82.2540363593548,6.66666666666667,13.6333333333333,NA,NA,4400.91224838061,6774.592
1978-01-01,11.142625104558,83.7361882347633,6.33333333333333,12.6,0.0118183077341839,0.0141025585013512,4640.29181274968,6796.26
1978-04-01,11.5648360332154,85.0188102500026,6,12.1666666666667,0.0119972366137777,0.0133342099418096,5007.10181107512,7058.92
1978-07-01,11.4468774152012,86.1954578801041,6.03333333333333,11.6,0.0123211486740204,0.0146902400772024,5075.72283409617,7129.915
1978-10-01,11.3018074407479,84.7933872326023,5.9,11.1333333333333,0.0116158104623663,0.0131580702777993,5305.82064354901,7225.75
1979-01-01,11.286993008854,85.4598050823141,5.86666666666667,11.3333333333333,0.0116863099585072,0.0136069971423703,5210.33580492499,7238.727
1979-04-01,11.291938494051,86.4114228419198,5.7,10.8333333333333,0.0122582061263715,0.0142267604689131,5323.28327284899,7246.454
1979-07-01,12.0480142504161,86.3727516660539,5.86666666666667,10.4666666666667,0.0122366113395522,0.013966133013784,5310.22472453523,7300.281
1979-10-01,11.8071517533137,85.1468335389211,5.96666666666667,10.6333333333333,0.0125822149551851,0.0134903917127738,5267.46363414979,7318.535
1980-01-01,11.9545259539831,82.8156257611461,6.3,10.6666666666667,0.0138692327282949,0.0134878273617784,4905.76930892119,7341.557
1980-04-01,12.9362197203345,79.5354896692669,7.33333333333333,11.2,0.0150500604332716,0.0151960818458124,4046.2438082052,7190.289
1980-07-01,11.9552667651199,79.2884432373776,7.66666666666667,12.3666666666667,0.0136749889587803,0.015673260624394,4053.23641525385,7181.743
1980-10-01,11.5612626268851,78.5868639760434,7.4,13.4666666666667,0.012878393053788,0.0148909800704533,4257.4758321674,7315.677
1981-01-01,11.8616387028971,79.9748196429469,7.43333333333333,14.1333333333333,0.0131555900494212,0.0150434047529182,4156.95931606177,7459.022
1981-04-01,12.1072434360725,80.1423519142125,7.4,13.7333333333333,0.0133183221159847,0.0145956552713516,4145.35994130369,7403.745
1981-07-01,12.4897953513995,78.5593815153288,7.4,13.9333333333333,0.0141396179837827,0.0143528821145911,4019.59186144114,7492.405
1981-10-01,13.9292172257475,79.0068841868587,8.23333333333333,13.2333333333333,0.0163403802845242,0.0155664194096588,3582.22135597148,7410.768
1982-01-01,13.6279767062087,75.3251136423248,8.83333333333333,13.8666666666667,0.0156747776135976,0.0154210796595878,3329.51110395522,7295.631
1982-04-01,13.1447636793657,72.2390494290273,9.43333333333334,15.0333333333333,0.0153759223489059,0.0158530678427074,3012.99113163722,7328.912
1982-07-01,13.3971055974934,70.6867173448369,9.9,16.0666666666667,0.0157275329294731,0.0155966205427103,2656.247076574,7300.896
1982-10-01,13.1619846058741,69.2827395330831,10.6666666666667,17.4666666666667,0.0150574758872894,0.0160629476207305,2577.93652057234,7303.817
1983-01-01,12.2503839424827,68.5107817222167,10.3666666666667,19.3333333333333,0.0136544432758955,0.0152520446921819,2706.80702297772,7400.066
1983-04-01,12.2107481681656,71.0469853682874,10.1333333333333,20.2666666666667,0.0134469895245809,0.0160850663701118,2994.00073996291,7568.456
1983-07-01,12.4944699707771,74.6750164250623,9.36666666666667,20.4666666666667,0.013889136219219,0.0156454824597638,3322.79525792827,7719.746
1983-10-01,11.6653662319045,76.4893074933892,8.53333333333333,19.7,0.0131991579258584,0.0157835991647506,3760.17790310843,7880.794
1984-01-01,11.503725681966,76.9460812366343,7.86666666666667,19.5,0.0122993459686872,0.0148127960584662,4084.07046685481,8034.847
1984-04-01,11.2048578383174,77.8099877134462,7.43333333333333,18.6,0.0125885638544628,0.0148873059232021,4400.50348460428,8173.67
1984-07-01,11.8511952215407,79.6535560140142,7.43333333333333,17.4333333333333,0.0134391335997453,0.0146465935003207,4482.83172873259,8252.465
1984-10-01,11.961472781849,80.1234094762896,7.3,16.8333333333333,0.0131167320880785,0.0147579277649731,4555.73844979323,8320.199
1985-01-01,11.9725117167361,80.4152918106478,7.23333333333333,15.9666666666667,0.0135692699684556,0.0155446848531681,4598.61176068316,8400.82
1985-04-01,12.0468969389899,80.1310271310451,7.3,15.7333333333333,0.0138112754755207,0.0152157585242017,4627.74623660707,8474.787
1985-07-01,11.8060255296755,80.8311634481778,7.2,15.3666666666667,0.0140599094517873,0.0161289575524118,4669.55730570077,8604.22
1985-10-01,11.6374498545617,81.9873975687687,7.03333333333333,15.3666666666667,0.0124810467692134,0.0148888076754956,4676.49186127214,8668.188
1986-01-01,11.8602953694963,79.4009831033867,7.03333333333333,14.8666666666667,0.0133120297153763,0.0143698167797816,4597.23035895995,8749.127
1986-04-01,11.7238855529123,80.2279948106469,7.16666666666667,14.8666666666667,0.0132675055157175,0.0146153854324336,4640.12566980747,8788.524
